Energie UV
12-05-2022 12:00:40.199
Date	Time	Energie UV
12-05-2022 12:00:41.691	45	0.000000
12-05-2022 12:00:42.691	1045	0.000000
12-05-2022 12:00:43.691	2045	0.000000
12-05-2022 12:00:44.692	3046	0.000000
12-05-2022 12:00:45.693	4047	0.000000
12-05-2022 12:00:46.694	5048	0.000000
12-05-2022 12:00:47.694	6048	0.000000
12-05-2022 12:00:48.693	7048	0.000000
12-05-2022 12:00:49.694	8049	0.000000
12-05-2022 12:00:50.695	9049	0.000000
12-05-2022 12:00:51.696	10050	0.000000
12-05-2022 12:00:52.697	11051	0.000000
12-05-2022 12:00:53.696	12051	0.000000
12-05-2022 12:00:54.696	13051	0.000000
12-05-2022 12:00:55.697	14052	0.000000
12-05-2022 12:00:56.698	15053	0.000000
12-05-2022 12:00:57.699	16054	0.000000
12-05-2022 12:00:58.701	17055	0.000000
12-05-2022 12:00:59.701	18055	0.000000
12-05-2022 12:01:00.702	19056	0.000000
12-05-2022 12:01:01.703	20057	0.000000
