Puissance_depolar
28-06-2022-11:34:29.060
Date,Time,Puissance_depolar
28-06-2022-11:34:31.925,125,0.000000
28-06-2022-11:34:32.313,512,0.000000
28-06-2022-11:34:33.312,1512,0.000000
28-06-2022-11:34:34.314,2513,0.834322
28-06-2022-11:34:35.312,3512,0.832073
28-06-2022-11:34:36.313,4512,0.832077
28-06-2022-11:34:37.313,5512,0.829294
28-06-2022-11:34:38.313,6512,0.834932
28-06-2022-11:34:39.314,7513,0.833953
28-06-2022-11:34:40.313,8512,0.832481
28-06-2022-11:34:41.312,9512,0.835423
28-06-2022-11:34:42.313,10512,0.839487
28-06-2022-11:34:43.313,11512,0.832295
28-06-2022-11:34:44.313,12512,0.835368
28-06-2022-11:34:45.313,13512,0.835900
28-06-2022-11:34:46.314,14513,0.834925
28-06-2022-11:34:47.313,15512,0.831615
28-06-2022-11:34:48.313,16512,0.834121
28-06-2022-11:34:49.313,17512,0.834253
28-06-2022-11:34:50.314,18513,0.830940
28-06-2022-11:34:51.312,19512,0.832633
28-06-2022-11:34:52.314,20513,0.833340
28-06-2022-11:34:53.313,21512,0.832340
28-06-2022-11:34:54.313,22513,0.832796
28-06-2022-11:34:55.312,23512,0.831078
28-06-2022-11:34:56.313,24512,0.831506
