Puissance depolar
12-05-2022 11:53:54.756
Date	Time	Puissance depolar
12-05-2022 11:53:55.842	28	0.000000
12-05-2022 11:53:56.842	1028	0.000000
12-05-2022 11:53:57.842	2028	0.000000
12-05-2022 11:53:58.843	3028	0.924233
12-05-2022 11:53:59.843	4028	0.924233
12-05-2022 11:54:00.843	5029	0.924809
12-05-2022 11:54:01.844	6029	0.924798
12-05-2022 11:54:02.844	7029	0.924030
12-05-2022 11:54:03.843	8029	0.921953
12-05-2022 11:54:04.843	9029	0.920852
12-05-2022 11:54:05.844	10029	0.923242
12-05-2022 11:54:06.844	11030	0.920133
12-05-2022 11:54:07.845	12030	0.008238
12-05-2022 11:54:08.845	13030	0.007801
12-05-2022 11:54:09.846	14031	0.007930
12-05-2022 11:54:10.845	15031	0.007523
12-05-2022 11:54:11.845	16031	0.008726
12-05-2022 11:54:12.846	17031	0.007933
12-05-2022 11:54:13.847	18032	0.009026
12-05-2022 11:54:14.847	19032	0.006076
12-05-2022 11:54:15.847	20032	0.006074
12-05-2022 11:54:16.846	21032	0.008617
12-05-2022 11:54:17.848	22033	0.008063
12-05-2022 11:54:18.848	23033	0.008024
12-05-2022 11:54:19.848	24033	0.001697
12-05-2022 11:54:20.849	25034	-0.004590
12-05-2022 11:54:21.849	26034	-0.006487
12-05-2022 11:54:22.848	27034	-0.009932
12-05-2022 11:54:23.849	28034	-0.007829
12-05-2022 11:54:24.850	29035	-0.006584
