Energie IR
13-05-2022 09:13:06.162
Date	Time	Energie IR
13-05-2022 09:13:07.164	23	0.000000
13-05-2022 09:13:08.163	1023	0.000000
13-05-2022 09:13:09.163	2023	0.000000
13-05-2022 09:13:10.164	3023	0.000000
13-05-2022 09:13:11.164	4023	0.000000
13-05-2022 09:13:12.164	5023	0.000000
13-05-2022 09:13:13.163	6023	0.000000
13-05-2022 09:13:14.164	7023	0.000000
13-05-2022 09:13:15.164	8023	0.000000
13-05-2022 09:13:16.163	9023	0.000000
13-05-2022 09:13:17.165	10024	0.000000
13-05-2022 09:13:18.165	11025	0.000000
13-05-2022 09:13:19.167	12026	0.000000
13-05-2022 09:13:20.167	13026	0.000000
13-05-2022 09:13:21.166	14026	0.000000
13-05-2022 09:13:22.168	15027	0.000000
13-05-2022 09:13:23.167	16027	0.000000
13-05-2022 09:13:24.168	17027	0.000000
13-05-2022 09:13:25.169	18028	0.000000
13-05-2022 09:13:26.169	19028	0.000000
13-05-2022 09:13:27.170	20029	0.000000
13-05-2022 09:13:28.169	21029	0.000000
13-05-2022 09:13:29.169	22029	0.000000
13-05-2022 09:13:30.170	23029	0.000000
13-05-2022 09:13:31.170	24029	0.000000
13-05-2022 09:13:32.170	25029	0.000000
13-05-2022 09:13:34.680
