Energie UV
12-05-2022 11:41:54.599
Date	Time	Energie UV
12-05-2022 11:41:57.648	137	0.000000
12-05-2022 11:41:58.649	1138	0.000000
12-05-2022 11:41:59.649	2138	0.000000
12-05-2022 11:42:00.648	3138	0.000000
12-05-2022 11:42:01.648	4138	0.000000
12-05-2022 11:42:02.649	5138	0.000000
12-05-2022 11:42:03.649	6138	0.000000
12-05-2022 11:42:04.648	7138	0.000000
12-05-2022 11:42:05.649	8139	0.000000
12-05-2022 11:42:06.649	9139	0.000000
12-05-2022 11:42:07.651	10140	0.000000
12-05-2022 11:42:08.652	11141	0.000000
12-05-2022 11:42:09.652	12141	0.000000
12-05-2022 11:42:10.652	13142	0.000000
12-05-2022 11:42:11.654	14143	0.000000
12-05-2022 11:42:12.653	15143	0.000000
