Energie UV
12-05-2022 11:45:14.474
Date	Time	Energie UV
12-05-2022 11:45:21.218	152	0.000000
12-05-2022 11:45:22.218	1152	0.000000
12-05-2022 11:45:23.219	2152	0.000000
12-05-2022 11:45:24.220	3153	0.000000
12-05-2022 11:45:25.220	4153	0.000000
12-05-2022 11:45:26.221	5155	0.000000
12-05-2022 11:45:27.222	6155	0.000000
12-05-2022 11:45:28.223	7156	0.000000
12-05-2022 11:45:29.223	8157	0.000000
12-05-2022 11:45:30.223	9157	0.000000
12-05-2022 11:45:31.224	10157	0.000000
12-05-2022 11:45:32.224	11157	0.000000
12-05-2022 11:45:33.223	12157	0.000000
12-05-2022 11:45:34.223	13157	0.000000
12-05-2022 11:45:35.224	14157	0.000000
12-05-2022 11:45:36.224	15157	0.000000
12-05-2022 11:45:37.225	16158	0.000000
12-05-2022 11:45:38.225	17158	0.000000
12-05-2022 11:45:39.226	18159	0.000000
12-05-2022 11:45:40.226	19159	0.000000
12-05-2022 11:45:41.226	20159	0.000000
12-05-2022 11:45:42.226	21159	0.000000
