Energie UV
13-05-2022 10:28:51.972
Date	Time	Energie UV
13-05-2022 10:28:53.409	182	0.000000
13-05-2022 10:28:54.409	1182	0.000000
13-05-2022 10:28:55.409	2182	0.000000
13-05-2022 10:28:56.410	3183	0.000000
13-05-2022 10:28:57.411	4184	0.000000
13-05-2022 10:28:58.412	5185	0.000000
13-05-2022 10:28:59.413	6185	0.000000
13-05-2022 10:29:00.413	7185	0.000000
13-05-2022 10:29:01.414	8186	0.000000
13-05-2022 10:29:02.415	9187	0.000000
13-05-2022 10:29:03.416	10188	0.000000
13-05-2022 10:29:04.416	11188	0.000000
13-05-2022 10:29:05.416	12189	0.000000
13-05-2022 10:29:06.418	13190	0.000000
13-05-2022 10:29:07.418	14190	0.000000
13-05-2022 10:29:08.418	15191	0.000000
13-05-2022 10:29:09.418	16191	0.000000
13-05-2022 10:29:10.418	17191	0.000000
13-05-2022 10:29:11.418	18191	0.000000
13-05-2022 10:29:12.418	19191	0.000000
13-05-2022 10:29:13.419	20192	0.000000
13-05-2022 10:29:14.419	21192	0.000000
13-05-2022 10:29:15.420	22193	0.000000
13-05-2022 10:29:16.420	23193	0.000000
13-05-2022 10:29:17.420	24193	0.000000
13-05-2022 10:29:18.420	25193	0.000000
13-05-2022 10:29:19.421	26194	0.000000
13-05-2022 10:29:20.421	27194	0.000000
13-05-2022 10:29:21.422	28195	0.000000
13-05-2022 10:29:22.422	29195	0.000000
13-05-2022 10:29:23.422	30195	0.000000
13-05-2022 10:29:24.423	31196	0.000000
13-05-2022 10:29:25.424	32197	0.000000
13-05-2022 10:29:26.424	33197	0.000000
13-05-2022 10:29:27.424	34197	0.000000
13-05-2022 10:29:28.424	35197	0.000000
13-05-2022 10:29:29.425	36198	0.000000
13-05-2022 10:29:30.425	37198	0.000000
13-05-2022 10:29:31.425	38198	0.000000
13-05-2022 10:29:32.426	39199	0.000000
13-05-2022 10:29:33.427	40200	0.000000
13-05-2022 10:29:34.428	41201	0.000000
13-05-2022 10:29:35.428	42201	0.000000
13-05-2022 10:29:36.428	43201	0.000000
13-05-2022 10:29:37.429	44202	0.000000
13-05-2022 10:29:38.430	45203	0.000000
13-05-2022 10:29:39.430	46203	0.000000
13-05-2022 10:29:40.431	47204	0.000000
13-05-2022 10:29:41.431	48204	0.000000
13-05-2022 10:29:42.432	49205	0.000000
13-05-2022 10:29:43.432	50205	0.000000
13-05-2022 10:29:44.432	51205	0.000000
13-05-2022 10:29:45.434	52206	0.000000
13-05-2022 10:29:46.434	53206	0.000000
13-05-2022 10:29:47.434	54206	0.000000
13-05-2022 10:29:48.434	55206	0.000000
13-05-2022 10:29:49.435	56207	0.000000
13-05-2022 10:29:50.434	57207	0.000000
13-05-2022 10:29:51.434	58207	0.000000
13-05-2022 10:29:52.434	59207	0.000000
13-05-2022 10:29:53.434	60207	0.000000
13-05-2022 10:29:54.435	61208	0.000000
13-05-2022 10:29:55.435	62208	0.000000
13-05-2022 10:29:56.436	63209	0.000000
13-05-2022 10:29:57.437	64210	0.000000
13-05-2022 10:29:58.437	65210	0.000000
13-05-2022 10:29:59.438	66210	0.000000
13-05-2022 10:30:00.438	67211	0.000000
13-05-2022 10:30:01.438	68211	0.000000
13-05-2022 10:30:03.954
