Puissance depolar
12-05-2022 12:51:01.099
Date	Time	Puissance depolar
12-05-2022 12:51:02.061	23	0.000000
12-05-2022 12:51:03.060	1023	0.000000
12-05-2022 12:51:04.062	2024	0.000000
12-05-2022 12:51:05.062	3025	0.000000
12-05-2022 12:51:06.063	4025	0.000000
12-05-2022 12:51:07.063	5025	0.000000
12-05-2022 12:51:08.063	6025	0.000000
12-05-2022 12:51:09.064	7026	0.000000
12-05-2022 12:51:10.064	8026	0.000000
12-05-2022 12:51:11.064	9027	0.000000
12-05-2022 12:51:12.064	10027	0.000000
12-05-2022 12:51:13.065	11027	0.000000
12-05-2022 12:51:14.064	12027	0.000000
12-05-2022 12:51:15.064	13027	0.000000
12-05-2022 12:51:16.066	14028	0.000000
12-05-2022 12:51:17.066	15028	0.000000
12-05-2022 12:51:18.066	16028	0.000000
12-05-2022 12:51:19.066	17029	0.000000
12-05-2022 12:51:20.066	18029	0.000000
12-05-2022 12:51:21.067	19029	0.000000
12-05-2022 12:51:22.068	20030	0.000000
12-05-2022 12:51:23.067	21030	0.930384
12-05-2022 12:51:24.068	22030	0.000000
12-05-2022 12:51:25.068	23030	0.000000
12-05-2022 12:51:26.067	24030	0.000000
12-05-2022 12:51:27.068	25031	0.000000
12-05-2022 12:51:28.069	26032	0.000000
12-05-2022 12:51:29.070	27032	0.000000
12-05-2022 12:51:30.070	28032	0.000000
12-05-2022 12:51:31.070	29032	0.000000
12-05-2022 12:51:32.070	30032	0.000000
12-05-2022 12:51:33.070	31032	0.000000
12-05-2022 12:51:34.070	32032	0.000000
12-05-2022 12:51:35.070	33032	0.000000
12-05-2022 12:51:36.070	34032	0.000000
12-05-2022 12:51:37.071	35033	0.000000
12-05-2022 12:51:38.071	36034	0.000000
12-05-2022 12:51:39.072	37034	0.000000
12-05-2022 12:51:40.071	38034	0.000000
12-05-2022 12:51:41.072	39035	0.000000
12-05-2022 12:51:42.074	40036	0.000000
12-05-2022 12:51:43.075	41037	0.000000
12-05-2022 12:51:44.074	42037	0.000000
12-05-2022 12:51:45.075	43038	0.000000
12-05-2022 12:51:46.075	44038	0.000000
12-05-2022 12:51:47.076	45038	0.000000
12-05-2022 12:51:48.076	46038	0.000000
12-05-2022 12:51:49.075	47038	0.000000
12-05-2022 12:51:50.076	48038	0.000000
12-05-2022 12:51:51.076	49038	0.000000
12-05-2022 12:51:52.076	50038	0.000000
12-05-2022 12:51:53.077	51039	0.000000
12-05-2022 12:51:54.078	52040	0.000000
