Energie UV
12-05-2022 12:36:18.532
Date	Time	Energie UV
12-05-2022 12:36:22.694	129	0.000000
12-05-2022 12:36:23.694	1129	0.000000
12-05-2022 12:36:24.694	2129	0.000000
12-05-2022 12:36:25.694	3129	0.000000
12-05-2022 12:36:26.695	4130	0.000000
12-05-2022 12:36:27.696	5131	0.000000
12-05-2022 12:36:28.697	6132	0.000000
12-05-2022 12:36:29.697	7132	0.000000
12-05-2022 12:36:30.698	8133	0.000000
12-05-2022 12:36:31.698	9133	0.000000
12-05-2022 12:36:32.698	10133	0.000000
12-05-2022 12:36:33.699	11134	0.000000
12-05-2022 12:36:34.700	12135	0.000000
12-05-2022 12:36:35.701	13136	0.000000
12-05-2022 12:36:36.701	14136	0.000000
12-05-2022 12:36:37.702	15137	0.000000
12-05-2022 12:36:38.702	16137	0.000000
12-05-2022 12:36:39.703	17138	0.000000
12-05-2022 12:36:40.704	18139	0.000000
12-05-2022 12:36:41.704	19139	0.000000
12-05-2022 12:36:42.704	20139	0.000000
12-05-2022 12:36:43.705	21140	0.000000
12-05-2022 12:36:44.705	22140	0.000000
12-05-2022 12:36:45.705	23140	0.000000
12-05-2022 12:36:46.705	24140	0.000000
12-05-2022 12:36:47.705	25140	0.000000
12-05-2022 12:36:48.705	26140	0.000000
12-05-2022 12:36:49.705	27140	0.000000
12-05-2022 12:36:50.706	28141	0.000000
12-05-2022 12:36:51.706	29141	0.000000
12-05-2022 12:36:52.706	30141	0.000000
12-05-2022 12:36:53.707	31142	0.000000
12-05-2022 12:36:54.707	32142	0.000000
12-05-2022 12:36:55.707	33142	0.000000
12-05-2022 12:36:56.707	34142	0.000000
12-05-2022 12:36:57.707	35142	0.000000
12-05-2022 12:36:58.708	36143	0.000000
12-05-2022 12:36:59.709	37144	0.000000
12-05-2022 12:37:00.709	38144	0.000000
12-05-2022 12:37:01.710	39145	0.000000
12-05-2022 12:37:02.711	40146	0.000000
12-05-2022 12:37:03.712	41147	0.000000
12-05-2022 12:37:04.714	42148	0.000000
12-05-2022 12:37:05.713	43148	0.000000
12-05-2022 12:37:06.713	44148	0.000000
12-05-2022 12:37:07.713	45148	0.000000
12-05-2022 12:37:08.713	46148	0.000000
12-05-2022 12:37:09.713	47148	0.000000
12-05-2022 12:37:10.713	48148	0.000000
12-05-2022 12:37:11.713	49148	0.000000
12-05-2022 12:37:12.714	50149	0.000000
12-05-2022 12:37:13.714	51149	0.000000
