Energie UV
12-05-2022 12:46:09.439
Date	Time	Energie UV
12-05-2022 12:46:10.442	19	0.000000
12-05-2022 12:46:11.442	1019	0.000000
12-05-2022 12:46:12.442	2019	0.000000
12-05-2022 12:46:13.442	3019	0.000000
12-05-2022 12:46:14.442	4019	0.000000
12-05-2022 12:46:15.443	5020	0.000000
12-05-2022 12:46:16.444	6021	0.000000
12-05-2022 12:46:17.444	7021	0.000000
12-05-2022 12:46:18.444	8021	0.000000
12-05-2022 12:46:19.444	9021	0.000000
12-05-2022 12:46:20.444	10021	0.000000
12-05-2022 12:46:21.444	11021	0.000000
12-05-2022 12:46:22.444	12021	0.000000
12-05-2022 12:46:23.444	13021	0.000000
12-05-2022 12:46:24.445	14022	0.000000
12-05-2022 12:46:25.446	15023	0.000000
12-05-2022 12:46:26.446	16023	0.000000
12-05-2022 12:46:27.447	17024	0.000000
12-05-2022 12:46:28.448	18025	0.000000
12-05-2022 12:46:29.449	19026	0.000000
12-05-2022 12:46:30.450	20027	0.000000
12-05-2022 12:46:31.450	21027	0.000000
12-05-2022 12:46:32.450	22027	0.000000
12-05-2022 12:46:33.450	23027	0.000000
12-05-2022 12:46:34.450	24027	0.000000
12-05-2022 12:46:35.450	25027	0.000000
12-05-2022 12:46:36.451	26028	0.000000
12-05-2022 12:46:37.452	27029	0.000000
12-05-2022 12:46:38.453	28030	0.000000
12-05-2022 12:46:39.453	29030	0.000000
12-05-2022 12:46:40.454	30031	0.000000
12-05-2022 12:46:41.454	31031	0.000000
12-05-2022 12:46:42.454	32031	0.000000
12-05-2022 12:46:43.455	33032	0.000000
12-05-2022 12:46:44.456	34033	0.000000
12-05-2022 12:46:45.457	35034	0.000000
12-05-2022 12:46:46.457	36034	0.000000
12-05-2022 12:46:47.457	37034	0.000000
12-05-2022 12:46:48.458	38035	0.000000
12-05-2022 12:46:49.458	39035	0.000000
12-05-2022 12:46:50.459	40036	0.000000
12-05-2022 12:46:51.459	41036	0.000000
12-05-2022 12:46:52.460	42037	0.000000
12-05-2022 12:46:53.460	43037	0.000000
12-05-2022 12:46:54.461	44038	0.000000
12-05-2022 12:46:55.461	45038	0.000000
12-05-2022 12:46:56.462	46039	0.000000
12-05-2022 12:46:57.462	47039	0.000000
12-05-2022 12:46:58.462	48039	0.000000
12-05-2022 12:46:59.462	49039	0.000000
12-05-2022 12:47:00.463	50040	0.000000
12-05-2022 12:47:01.463	51040	0.000000
12-05-2022 12:47:02.463	52040	0.000000
